Country,id,Year,Production,Consumption,Cons_Capita,Nr_Breweries,Employment,Excise_Duty,ON_TRADE,OFF_TRADE,INTRA_EU_IMP,EXTRA_EU_IMP,INTRA_EU_EXP,EXTRA_EU_EXP,Import,Export
AUSTRIA,AT,2016,9227,9030,106,235,3800,196.00,,,,,,,741,1088
AUSTRIA,AT,2017,9312,8984,105,273,3800,192.00,,,,,,,683,1170
AUSTRIA,AT,2018,9472,9190,107,298,3700,200.00,,,,,,,867,1259
AUSTRIA,AT,2019,9516,9173,107,311,3700,189.64,,,,,,,830,997
AUSTRIA,AT,2020,9149,8637,100,309,3700,193.65,,,,,,,829,802
AUSTRIA,AT,2021,9376,8719,101,324,3600,177.81,,,,,,,648,933
AUSTRIA,AT,2022,9757,9207,102,349,3700,206.00,24,76,728,24,718,171,752,889
BELGIUM,BE,2016,20616,7689,68,224,4700,201.59,,,,,,,1158,14085
BELGIUM,BE,2017,20828,7013,67,261,5800,200.80,,,,,,,2567,15809
BELGIUM,BE,2018,20919,7106,68,304,6300,200.98,,,,,,,2534,16185
BELGIUM,BE,2019,21563,7065,65,340,6551,199.73,,,,,,,2521,18405
BELGIUM,BE,2020,22311,5750,68,379,6194,168.26,,,,,,,2135,17869
BELGIUM,BE,2021,22856,6452,66,408,6645,178.63,,,,,,,1706,17345
BELGIUM,BE,2022,23350,6934,67,430,6866,191.30,31,69,1083,94,13446,2944,1177,16390
BULGARIA,BG,2016,5180,5500,76,17,2300,41.57,,,,,,,528,150
BULGARIA,BG,2017,5020,5400,74,25,2300,40.59,,,,,,,499,129
BULGARIA,BG,2018,5070,5500,75,29,2100,41.40,,,,,,,615,186
BULGARIA,BG,2019,4874,5455,74,33,2100,40.29,,,,,,,766,185
BULGARIA,BG,2020,4570,5220,75,37,2100,38.30,,,,,,,779,197
BULGARIA,BG,2021,4460,5150,77,43,2150,38.00,,,,,,,794,103
BULGARIA,BG,2022,4500,5230,80,40,2150,39.60,13,87,602,172,19,13,774,32
CROATIA,HR,2016,3348,3292,75,6,1500,82.73,,,,,,,693,815
CROATIA,HR,2017,3395,3398,79,6,1500,85.44,,,,,,,827,783
CROATIA,HR,2018,3434,3611,84,97,1500,89.86,,,,,,,925,673
CROATIA,HR,2019,3239,3585,88,92,1600,84.74,,,,,,,976,629
CROATIA,HR,2020,2344,2808,81,98,1690,75.60,,,,,,,995,531
CROATIA,HR,2021,2332,2972,77,101,1674,83.50,,,,,,,1189,549
CROATIA,HR,2022,2927,3074,79,109,1801,89.54,40,60,910,151,413,500,1061,913
