Country Code ISO3;Country;year;population;eusubreg;gdp/capita;sdg1_transfer;sdg1_umicpov;sdg1_material;sdg2_obesity;sdg2_trophic;sdg2_ammonia;sdg3_eulifee;sdg3_legap;sdg3_avoidable;sdg3_ghealth;sdg3_eutb;sdg3_suicide;sdg3_hgap;sdg3_u5mort;sdg3_incgap;sdg3_road;sdg3_binge;sdg3_vac;sdg3_smoking;sdg3_insucov;sdg3_ehealth;sdg3_oopocket;sdg3_swb;sdg4_earlyleav;sdg4_child;sdg4_pisa;sdg4_tertiary;sdg4_underach;sdg4_adult;sdg4_socioec;sdg5_empgap;sdg5_paygap;sdg5_caring;sdg5_wparl;sdg5_wmanage;sdg5_ictwomen;sdg6_shower;sdg6_exploit;sdg6_wastew;sdg6_safewat;sdg6_safesan;sdg7_warm;sdg7_eurenew;sdg7_co2twh;sdg8_income;sdg8_rights;sdg8_accident;sdg8_impacc;sdg8_euyneet;sdg8_unemp;sdg8_inwork;sdg9_uni;sdg9_epo;sdg9_eurd;sdg9_lpi;sdg9_bband;sdg9_bbandgap;sdg9_rdperson;sdg9_articles;sdg10_gini;sdg10_palma;sdg11_crowding;sdg11_recycle;sdg11_eupm25;sdg11_hburden;sdg11_dwelling;sdg12_explastic;sdg12_circular;sdg12_value;sdg12_nprod;sdg12_nimport;sdg13_co2gcp;sdg13_ghgimport;sdg14_bath;sdg14_fishstocks;sdg14_cpma;sdg14_trawl;sdg14_discard;sdg15_redlist;sdg15_cpta;sdg15_oxygen;sdg15_cpfa;sdg15_nitrate;sdg16_rsf;sdg16_cpi;sdg16_crime;sdg16_homicide;sdg16_crimepov;sdg16_detain;sdg16_justice;sdg16_admin;sdg16_power;sdg17_oda;sdg17_statperf;sdg17_sprofits
ALB;Albania;2018;2878389;Candidate Countries;3830;23;11;38;;;;79;;;82;18;;9;9;18;;;94;;;;;5;;;420;;42;;3;;7;;29;;;5;1;34;71;48;33;37;0;;0;;0;;;17;;0;;2;84;;;0;35;1;73;;;6;33;;;;39,31;14;2;2;62;;67;75;24;1;49;9;97;;71;36;1;;0;42;1;1;0;;78;
ALB;Albania;2019;2875637;Candidate Countries;3920;23;7;37;;;;79;4;;82;16;;9;9;13;;;95;;;;;5;;;;;;;;;;;30;;;3;1;32;71;50;37;38;1;;0;;;;;15;;1;;;85;;;0;34;1;70;;;6;30;;;;;;2;2;59;;67;75;24;1;49;6;97;;70;35;1;;0;45;1;1;0;;75;
ALB;Albania;2020;2872130;Candidate Countries;3810;22;7;35;;;;77;3;;83;16;;6;9;8;;;91;;;;;5;;;;;;;;;;;30;;;3;;31;71;53;36;45;;;0;;;;;13;;0;;;87;;;0;33;;66;18;;4;22;;;;;;2;2;76;;67;;;1;49;8;97;;70;36;1;;0;;1;1;0;;;
ALB;Albania;2021;2861567;Candidate Countries;3990;;7;;;;;76;;;;17;;;10;;;;87;;;;;5;;;;;;;;;;;36;;;;;22;71;54;;41;;;0;;;;;;;1;;;91;;;0;;;;19;;;;;;;;;2;2;68;;67;;;1;49;;97;;69;35;;;;;1;1;0;;;
ALB;Albania;2022;2847853;Candidate Countries;4100;;6;;;;;76;;;;;;;;;;;;;;;;5;;;368;;74;;4;;;;;;;;;;71;56;;;;;0;;;;;;;;;;98;0;;0;;;;;;;;;;;;;;;67;;67;;;1;49;;97;;56;36;;;;;1;1;0;;;
ALB;Albania;2023;2836789;Candidate Countries;4130;;5;;;;;76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;58;;;;;;;;;;;
AUT;Austria;2018;8822252;Western Europe;37690;14;1;3;;;24;82;2;232;72;6;14;21;4;0;5;;85;;100;9;18;7;7;90;491;41;21;15;15;9;20;1;37;26;18;0;2;100;99;100;2;34;1;26639;1;3;0;9;5;8;49;258;3;4;89;2;2;3;27;1;32;58;16;7;10;;11;4;40,36;41;8;9;97;;;;;1;68;2;71;22;86;76;10;1;0;21;1;1;1;0;90;5
AUT;Austria;2019;8858773;Western Europe;38070;13;1;3;17;;23;82;2;225;71;6;12;22;4;1;5;2;85;;100;;18;7;8;90;;42;;15;;9;20;1;39;31;20;0;0;100;99;100;2;34;1;27352;1;2;;9;5;8;53;264;3;;90;4;2;3;28;1;33;58;12;7;9;;12;4;;;8;9;98;;;;;1;68;2;71;22;85;77;8;1;0;20;1;1;1;0;89;5
AUT;Austria;2020;8901106;Western Europe;35390;14;1;3;;;23;81;2;235;74;5;12;21;4;0;4;;85;25;100;9;17;7;8;90;;41;;12;;8;19;1;40;32;20;1;;99;99;100;2;37;;26811;1;2;;10;5;7;54;259;3;;90;2;2;3;27;;34;62;;6;9;;11;4;;;7;8;98;;;;;1;68;1;71;21;84;76;6;0;2;;1;1;1;0;;
AUT;Austria;2021;8914448;Western Europe;36740;15;1;;;;24;81;3;;72;5;;20;4;0;4;;85;;100;;16;7;8;89;;42;;15;;9;19;1;42;35;19;;;99;99;100;2;36;;28252;1;3;;9;;8;54;258;3;;95;3;2;3;27;;37;63;;6;;20;12;;;;7;9;98;;;;;1;68;;71;;84;74;;;;;1;1;1;0;;
AUT;Austria;2022;8929716;Western Europe;38080;15;1;;;;;81;;;70;;;19;;1;;;;;;23;16;7;8;;486;43;25;16;19;8;;1;41;33;19;;;;99;100;3;;;;1;;;9;;8;55;266;;;93;3;;3;28;;39;;;7;;;;;;;;;97;;;;;1;68;;71;;77;71;;;;;1;1;1;0;;
AUT;Austria;2023;8949518;Western Europe;37430;;1;;;;;81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;77;;;;;;;;;;;
BEL;Belgium;2018;11417328;Western Europe;35510;16;1;5;;;47;82;4;216;75;9;16;29;4;6;5;;96;;99;28;18;7;9;99;500;47;20;9;22;8;6;1;40;32;17;0;4;84;100;91;5;9;1;25064;1;2;0;11;6;5;63;205;3;4;87;1;2;3;26;1;19;54;13;9;18;;20;2;40,75;61;9;13;88;;97;36;35;1;76;3;86;29;87;75;12;1;10;36;1;1;1;0;82;-46
BEL;Belgium;2019;11479863;Western Europe;36110;15;1;4;16;;46;82;4;207;74;9;15;30;4;5;6;8;96;;99;;20;7;8;98;;47;;8;;8;6;1;42;36;17;0;6;84;100;93;4;10;1;25934;1;1;;11;5;5;63;211;3;;90;0;2;3;25;1;16;55;11;8;17;;24;2;;;9;13;85;;97;40;34;1;76;2;86;28;88;75;13;1;5;;1;1;1;0;82;-38
BEL;Belgium;2020;11541273;Western Europe;34050;14;1;4;;;46;81;5;240;75;8;15;31;4;5;4;;96;21;99;36;17;7;8;99;;49;;7;;8;5;0;43;38;17;0;;84;100;94;4;13;;26524;1;1;;11;6;4;63;209;3;;91;0;2;3;25;;16;51;;8;16;;22;2;;;8;11;81;;97;;;1;76;2;86;29;87;76;11;1;5;;1;1;1;0;;
BEL;Belgium;2021;11582160;Western Europe;36260;13;1;;;;45;82;5;;76;8;;28;4;5;5;;96;;99;;18;7;7;98;;51;;10;;8;5;1;44;38;20;;;84;100;94;4;13;;27726;1;1;;10;;4;64;214;3;;92;0;2;3;24;;17;56;;8;;29;21;;;;8;13;79;;97;;;1;76;;86;;88;73;;;;;1;1;1;0;;
BEL;Belgium;2022;11640679;Western Europe;37050;13;1;;;;;82;;;75;;;30;;3;;;;;99;46;;7;6;;486;51;25;10;22;8;;1;44;39;19;;;;100;95;5;;;;1;;;9;;4;65;224;;;94;1;;3;25;;21;;;8;;;;;;;;;77;;97;;;1;76;;86;;79;73;;;;;1;1;1;0;;
BEL;Belgium;2023;11671181;Western Europe;37300;;1;;;;;82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;63;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;76;;;;;;;;;;;
BGR;Bulgaria;2018;7150032;Central and Eastern Europe;6330;22;6;21;;;8;75;2;414;67;23;9;28;7;5;9;;92;;;3;39;5;13;80;427;34;44;3;15;8;14;0;25;15;30;9;1;64;96;69;34;21;1;;1;3;0;18;5;10;12;4;1;3;72;20;1;1;40;2;49;32;20;18;13;;3;2;46,81;13;6;3;53;;100;74;6;1;99;2;99;30;65;42;22;1;2;9;1;1;0;0;83;
